content_id,subject,sentiment_value,sentiment_word,sp_word
XuPwKCnA2fqNh5vm,价格,0,,价格便宜
2jNbDn85goX3IuPE,价格,0,,价格便宜
hLgEADQ8sUnvGFK9,价格,0,,
nZmM7LQsfr03wUaz,价格,0,,
pwd8MnrthDqLZafe,价格,0,,价格便宜
cudSKGTyMLbIt8k3,价格,0,,价格便宜
U5RMQtopwFzDVxHm,价格,0,,价格便宜
Kh0ayJjuTrzwPAs1,价格,0,,
YZovRtEAyQJgTi1I,价格,0,,价格便宜
BeSIAUzoTWH9muYl,配置,0,,价格便宜
SXYTBWg6FxuboMnd,配置,0,,优惠
RDgTmzW9xBfY6pGv,配置,0,,优惠
8cMwzsxkL4XtuDG1,配置,0,,优惠
MOUrvjDsIJpbw6dQ,配置,0,,优惠
t01PVoDSd9Lsy5HN,配置,0,,优惠
icMQmPJA9Sv0KGTw,安全性,0,,优惠
icMQmPJA9Sv0KGTw,操控,0,,优惠
icMQmPJA9Sv0KGTw,舒适性,0,,优惠
VQkjM1657sIroCf3,舒适性,0,,优惠
1rGSYnOx9Fb2ULQX,配置,0,,优惠
SgNFp8ixQX1HA64y,价格,1,,优惠
sO6Ac1mThYBKyl4M,价格,0,,优惠
sO6Ac1mThYBKyl4M,油耗,0,,优惠
qIUiOxGdb0M4PQky,油耗,0,,优惠
6GMYQa0Ag4o9nsZ2,油耗,0,,优惠
6Ewe2kxO5msAg0yU,动力,0,,优惠
PMeBcRxizIaNmAC7,油耗,0,,优惠
9x4gvon6TfN0KtqY,油耗,0,,优惠
Er3x8Ks6mpQqeZO0,油耗,0,,优惠
f5UhrHg6Zztl7VWj,价格,0,,优惠
f5UhrHg6Zztl7VWj,舒适性,0,,优惠
fYtbApDWqzGmKX8F,舒适性,0,,优惠
fYtbApDWqzGmKX8F,动力,0,,优惠
YUWFxTOoZCkNzKcu,舒适性,0,,优惠
hNVSLDr06cMsgwfI,内饰,0,,优惠
aV6A5z8pJRkKIC9r,内饰,0,,优惠
aV6A5z8pJRkKIC9r,外观,0,,优惠
E9SZbnzR2XW0QiLs,内饰,0,,确实
DXhAOZEsTBVWaSRH,价格,1,,便宜
6p8glZ2iewsInqK4,价格,0,,确实
AWsymeHLSU1f38tT,安全性,0,,优惠
l94kJgMBpYoODyzQ,安全性,0,,确实
bVeAzdpgX7tFDlPI,安全性,0,,确实
lQ0N8fd4On7TzcsD,安全性,0,,确实
jhmIcH6LTxkGVE19,安全性,0,,确实
68jBJULyWclT9Pir,安全性,0,,确实
7prF9LJoixSgPQvM,安全性,0,,优惠
Q4lp0HBNfTD2xYAv,操控,1,,优惠
M3Hqx1Un8ygzFTtl,操控,1,,优惠
cIevXAM5FRp14Nni,操控,0,,优惠
8jCcfemUlPaQFx67,动力,0,,优惠
ZqEa9wGAXNCDRoph,动力,0,,优惠
SHbyJ2RM9oi4ZtdD,动力,0,,优惠
vNgGz3Kfj1qCe92E,动力,0,,优惠
9eqiWkfr8HNR0xPo,动力,0,,优惠
sAtwDdFoc06XgaW9,动力,0,,优惠
23EJ8RwY9PcotslQ,动力,0,,优惠
oKdBRimU38Gjc9PJ,动力,0,,优惠
zsADXh4cYeUjEKSP,动力,0,,优惠
Q2LaKeht0Vvo1Rn6,动力,0,,优惠
hszDKcUSek9dyP5o,动力,0,,优惠
Mb7fevclI1UmTzo3,动力,0,,优惠
rgv1ykaC29JoQlcu,动力,0,,优惠
EKI7PjFs81Lc52uS,动力,0,,优惠
5b2XhIBYPOCfMzcu,动力,0,,优惠
n2Fm18vbEDIa53ys,动力,0,,优惠
Mq4oVg68SWFBz9i5,动力,0,,优惠
7hHUfbrVKp1aAFmN,动力,0,,优惠
qvD82LNTpMdsAXIe,动力,0,,优惠
sKPpYiV2bXWEjTLc,空间,1,,优惠
KaM0rQpCE7yLYgH2,空间,0,,优惠
KaM0rQpCE7yLYgH2,舒适性,0,,优惠
g1qaKmR09LUXcp8B,外观,0,,优惠
OKVCfRJ8X9BwxaTv,安全性,0,,优惠
tcPLeKdDrkYG1394,价格,0,,优惠
siYq5vrJBQzkuZPy,外观,0,,优惠
