价格,内饰,配置,安全性,外观,操控,油耗,空间,舒适性,动力
1.112035972,0.41307006,0.387473042,0.285590927,0.497032114,0.650448197,0.194619871,0.574472418,0.403796374,0.386931341
0.876506043,0.114411329,0.129406981,0.073058144,0.131821903,0.304549471,0.046389343,0.14456014,0.085960644,0.110883983
0.906951311,0.128492466,0.127828847,0.079699794,0.124247814,0.152763624,0.076412374,0.132550512,0.124096348,0.12074954
0.850192715,0.037479573,0.083641097,0.011069416,0.06456583,0.043696228,0.020442761,0.051628621,0.024560184,0.041704153
0.943459063,0.067587591,0.132092093,0.069212724,0.126913183,0.079912091,0.089715686,0.061954346,0.083682595,0.11501493
1.149620245,0.459617924,0.394533478,0.303301993,0.45196081,0.975882436,0.189488671,0.631934326,0.468397795,0.351786796
1.185007135,0.04537001,0.140453918,0.015497182,0.096848745,0.054289254,0.026732842,0.059889201,0.035085977,0.057895177
0.948187179,0.078904365,0.126250713,0.039849897,0.102229231,0.086068329,0.032236662,0.094996663,0.066663357,0.067707919
0.850192715,0.037479573,0.083641097,0.011069416,0.06456583,0.043696228,0.020442761,0.051628621,0.024560184,0.041704153
0.404359529,0.08555051,0.099762197,0.044277663,0.114273076,0.111369301,0.044115201,0.07641036,0.089010371,0.073806825
0.659364285,0.003945218,0.064974694,0.004427766,0.053479037,0.01495333,0.022095069,0.00413029,0.011553681,0.025047386
0.333907064,0.013808264,0.037875214,0.024352715,0.026902429,0.025158435,0.011007641,0.00413029,0.017542989,0.026494403
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.357445367,0.008982913,0.074003403,0.002213883,0.041887194,0.079121969,0.00486271,0.002065145,0.008070499,0.025032476
0.489224082,0.288173891,0.241731233,0.18192665,0.312775827,0.482214843,0.117939007,0.489003851,0.266961063,0.230728492
0.332120194,0.004309377,0.050840046,0.012704216,0.021521943,0.011326358,0.00486271,0.006957918,0.003508598,0.016115504
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.659940943,0.006281986,0.068029639,0.004427766,0.055791417,0.017946999,0.01065683,0.00413029,0.011173507,0.027581308
0.683333859,0.044435162,0.124560501,0.028780481,0.146261473,0.054869758,0.025918662,0.06079457,0.054998539,0.060184459
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
1.054490106,0.638572903,0.582012584,0.394518862,0.703944936,1.012969083,0.250155194,1.024133818,0.576025299,0.486144963
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.83119392,0.292674467,0.311571902,0.2003052,0.325519393,0.49536646,0.123733127,0.480638573,0.266653426,0.251055151
0.44016241,0.07205169,0.10404476,0.04206378,0.122049287,0.049573245,0.052651503,0.048403701,0.084821619,0.109738806
0.351828497,0.001972609,0.031453197,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.011250616
0.36271677,0.007890436,0.059859607,0.015497182,0.032282915,0.011917153,0.00629008,0.00413029,0.012280092,0.019100809
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.342980626,0.017753482,0.053656553,0.030994364,0.034973158,0.037075588,0.135236728,0.010325724,0.078943449,0.089295951
0.341165913,0.023671309,0.045765883,0.013283299,0.032282915,0.027806691,0.009435121,0.014456014,0.043857471,0.025022492
0.365664529,0.080876974,0.077328562,0.044277663,0.088778016,0.101957866,0.038526742,0.07641036,0.080697747,0.059857725
0.430691059,0.11510317,0.216784129,0.092983093,0.208940239,0.084976402,0.114628167,0.062316493,0.097101711,0.083752462
0.320296722,0.001972609,0.02840641,0.002213883,0.021521943,0.006620641,0.0039313,0.002065145,0.003508598,0.010303379
0.520596741,0.094685238,0.075640946,0.066416495,0.048424372,0.072827047,0.066045844,0.057824056,0.135081012,0.172179582
0.142693589,0.22539632,0.553730592,0.129569915,0.189968185,0.197991697,0.075480964,0.174920759,0.16025647,0.119930548
0.075310561,0.13825495,0.520155028,0.046491546,0.107609717,0.067030728,0.011237985,0.070290538,0.049421845,0.043894756
0.118863656,0.110466111,0.498690316,0.055347079,0.099538988,0.076799432,0.012580161,0.086736084,0.042103173,0.054460717
0.118863656,0.110466111,0.498690316,0.055347079,0.099538988,0.076799432,0.012580161,0.086736084,0.042103173,0.054460717
0.080617658,0.134178487,0.524559657,0.056511771,0.13045702,0.060282371,0.011793901,0.088539571,0.040237737,0.045988086
0.979944645,0.173589602,0.618628494,0.130619106,0.182936518,0.162867761,0.069977144,0.169341878,0.114029426,0.173685531
0.0410697,0.034745077,1.40005178,0.036586823,0.044930951,0.040188247,0.017435601,0.019129525,0.060569073,0.028077951
0.030022311,0.026162799,1.001255699,0.022332947,0.032518798,0.0521054,0.052498804,0.008260579,0.075064919,0.03746113
0.078514471,0.112497054,1.048728001,0.066998841,0.105155357,0.145766218,0.051313723,0.103800464,0.14956461,0.078546902
0.02551053,0.017753482,0.892764005,0.028780481,0.013451215,0.040029012,0.060487477,0.010325724,0.059152694,0.024154293
0.186246685,0.160473179,1.483943328,0.146504519,0.162358107,0.185610141,0.064542264,0.061954346,0.181461875,0.163726308
0.275802067,0.331155325,1.008977609,0.217154665,0.42373273,0.529023731,0.271990136,0.490163626,0.376804322,0.323596136
0.105253314,0.08876741,0.814317099,0.044277663,0.096848745,0.070178791,0.020442761,0.066084635,0.066663357,0.045138613
0.027325242,0.023671309,0.865233448,0.015497182,0.013451215,0.030760115,0.011793901,0.014456014,0.075063087,0.020229197
0.053534013,0.032080627,0.757253828,0.040626358,0.05474839,0.034659533,0.035450642,0.01706438,0.077342968,0.044906093
0.02359126,0.027616528,0.703847725,0.022138832,0.0188317,0.025158435,0.012580161,0.014456014,0.031577379,0.017172298
0.112918341,0.140938287,0.813928202,0.109644967,0.13935021,0.179942792,0.037099372,0.067533226,0.135237416,0.120511761
0.021400834,0.009863046,0.719905986,0.025381757,0.010760972,0.023544594,0.010912415,0.006195435,0.031364913,0.016647133
0.019054479,0.009863046,0.669128779,0.011069416,0.010760972,0.017213666,0.0078626,0.006195435,0.024560184,0.010303379
0.030022311,0.032599507,0.814036904,0.034178824,0.044223302,0.040420449,0.049422704,0.02119467,0.061184347,0.026864156
0.050916502,0.029589137,0.895217992,0.055347079,0.06456583,0.073132216,0.022801541,0.037172607,0.083834581,0.059480164
0.046275164,0.025643919,0.746426354,0.040498482,0.034973158,0.057165062,0.031911091,0.035712473,0.086563599,0.04381044
0.075469676,0.110109164,0.25483368,0.125662858,0.195745537,0.274702595,0.179692312,0.128038981,0.300574606,0.16873985
0,0.015018985,0.111572902,0.007223996,0.002926126,0.007201145,0.0025656,0.006738656,0.022897409,0.003735596
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.00128464,0.017811816,0.136150536,0.007223996,0.002926126,0.009075852,0.0025656,0.006738656,0.025381155,0.005819536
0,0,0,0,0,0,0,0,0,0
0.190922076,0.308547244,0.308641739,0.192607835,0.312068178,0.49047799,0.158824529,0.477048462,0.293697356,0.260159051
0.002826626,0,0.115532011,0.013793526,0,0.032999748,0,0.009650113,0.010930101,0
0.028618041,0.02419019,0.133480265,0.068617232,0.019775233,0.038468797,0.015559401,0.029770726,0.074439228,0.029940458
0.02600775,0.072986537,0.118170082,0.029701025,0.053804858,0.050316869,0.018083981,0.083464492,0.079672895,0.045546632
0.32543528,0.001972609,0.124482618,0.005348311,0.021521943,0.006620641,0.0039313,0.004988988,0.005992343,0.011692672
0.27773054,0.409021928,0.327365581,0.403509081,0.382014494,0.765066841,0.195488172,0.581573221,0.57374725,0.326006302
0.018147123,0.007890436,0.017359473,0.079699794,0.010760972,0.074151176,0.00707634,0.002065145,0.099995035,0.014719113
0.039518829,0.015780873,0.038457885,0.2039835,0.027895708,0.163988075,0.01694691,0.00413029,0.218693473,0.0422249
0.022094779,0.010036006,0.020792485,0.084515791,0.010760972,0.089993694,0.012207541,0.006557582,0.145789853,0.021122992
0.036294246,0.015780873,0.034718946,0.159399587,0.021521943,0.148302351,0.014152681,0.00413029,0.19999007,0.029438226
0.062607575,0.074959146,0.069437892,0.141688522,0.043043887,0.152274736,0.17061843,0.037172607,0.22981315,0.122659273
0.000986914,0.021455693,0.169934112,0.009631994,0.005852252,0.01296206,0.039339203,0.006738656,0.040070466,0.011206789
0.005444137,0.04537001,0.034718946,0.048705429,0.013451215,0.233046552,0.00471756,0.010325724,0.019297287,0.01177529
0.029942753,0.09392335,0.152604383,0.029362827,0.167030944,0.077379936,0.024580881,0.066627857,0.061491984,0.040533378
0.19326686,0.360987468,0.255657694,0.263623471,0.349731579,0.735851564,0.141310857,0.559654256,0.321036691,0.292236563
0.051719301,0.084176854,0.063125356,0.12619134,0.056495101,0.121022921,0.195686054,0.092931519,0.110255723,0.143235493
0.034479534,0.071013928,0.061547223,0.075272027,0.04573413,0.105930251,1.022138059,0.086736084,0.208761564,0.151606862
0.078014813,0.098994615,0.09857784,0.109367176,0.070117135,0.155108037,1.938015866,0.11847574,0.260215562,0.163359653
1.01478703,0.163726557,0.205327289,0.148330172,0.158020648,0.203569382,0.56125639,0.14776901,0.326623444,0.36667176
1.080094129,0.203178739,0.215827625,0.164864169,0.142818758,0.227433953,1.343303206,0.181058697,0.415989532,0.416958761
0.234661119,0.248704637,0.265403242,0.26605421,0.220835802,0.315151729,1.544731525,0.179848676,0.72656038,0.539784436
